,text,label
0,Início da Execução Juntado 0008003-11.2018.8.26.0002 - Cumprimento de sentença,H:Suspenso
1,Ofício Requisitório - Comunicação - Protocolo Eletrônico - DEPRE,H:Arquivado
2,Arquivado Provisoriamente aguardando manifestação,H:Suspenso
3,"Petição Juntada Juntada a petição diversa - Tipo: Petição Intermediária em Procedimento Comum Cível - Número: 80031 - Protocolo: FGRU19000140154 - Complemento: autor, expedição de ofício.",H:Ativo
4,Remetidos os Autos para o Arquivo Geral – Devolução de Feitos Não Reativados PACOTE 12323/16 (2 VOLS.C/ 1 APENSO),H:Arquivado
5,Petição Juntada Nº Protocolo: WSCB.19.70102312-9 Tipo da Petição: Petições Diversas Data: 29/03/2019 13:41,H:Arquivado
6,Certidão de Cartório Expedida Certidão - Genérica,H:Ativo
7,Petição Juntada Nº Protocolo: WFPA.19.70117299-0 Tipo da Petição: Petições Diversas Data: 12/03/2019 14:57,H:Ativo
8,Tipo do Movimento:RemessaDestinatário:Tribunal de Justiça Prazo:15 dia(s),H:Ativo
9,"Tipo do Movimento:Ato Ordinatório Praticado Descrição:Certifico que a sentença transitou em julgado e não há custas a recolher, face a gratuidade de justiça deferida à parte autora.",H:Arquivado
10,Remetidos os Autos para o Tribunal de Justiça/Colégio Recursal - Processo Digital,H:Ativo
11,Remetidos os Autos para o Arquivo Geral – Devolução de Feitos Não Reativados Pacote nº 1812/2016,H:Arquivado
12,Suspensão do Prazo Prazo referente à movimentação foi alterado para 14/03/2019 devido à alteração da tabela de feriados,H:Ativo
13,"Ato Ordinatório - Publicável À réplica no prazo legal. No mesmo prazo e sem prejuízo de eventual julgamento antecipado da lide, especifiquem as partes as provas que pretendem produzir, justificando a sua pertinência, sob pena de indeferimento.",H:Ativo
14,Remetidos os Autos para o Tribunal de Justiça/Colégio Recursal - Processo Digital,H:Ativo
15,"Petição Juntada Nº Protocolo: WFPA.19.70103330-2 Tipo da Petição: Petição Juntando Cópia do Agravo (Art. 1.018, do CPC) Data: 02/03/2019 21:39",H:Ativo
16,Tipo do Movimento:RemessaDestinatário:Tribunal de Justiça Prazo:15 dia(s),H:Ativo
17,Baixa Definitiva,H:Arquivado
18,Certidão de Cartório Expedida Certidão - Genérica,H:Suspenso
19,Autos no Prazo,H:Ativo
20,Agravo de Instrumento - Acórdão e Demais Peças Juntados - Com Trânsito em Julgado - Agravo Destruído,H:Ativo
21,Certidão de Publicação Expedida Relação :0464/2016 Data da Disponibilização: 02/05/2016 Data da Publicação: 03/05/2016 Número do Diário: 2106 Página: 2948/2951,H:Ativo
22,Tipo do Movimento:RemessaDestinatário:Tribunal de Justiça Prazo:15 dia(s),H:Ativo
23,Arquivado Definitivamente,H:Arquivado
24,Mensagem Eletrônica (e-mail) Juntada,H:Ativo
25,Arquivado Definitivamente,H:Arquivado
26,"Certidão de Cartório Expedida CERTIFICO E DOU FÉ que faço a REMESSA dos presentes autos, na data de 12/03/2018, via malote, ao Serviço de Processamento de Recursos aos Tribunais Superiores do 1º ao 4º Grupo de Câmaras de Direito Público (SJ 4.10), em cumprimento ao determinado em fls. 194/195 retro. Certifico finalmente que os presentes autos contém 01 (um) volume e 05 (cinco) apensos, sendo estes últimos 01 (um) volume de execução fiscal, 01 (um) volume de agravo de instrumento e 03 (três) volumes de processo administrativo. Nada mais. São Paulo, 09/03/2018.",H:Ativo
27,Certidão de Trânsito em Julgado com Baixa Expedida Certidão - Trânsito em Julgado com Baixa - Processo Digital,H:Arquivado
28,Conclusos para Despacho,H:Ativo
29,Arquivado Definitivamente,H:Arquivado
30,Certidão de Cartório Expedida Certifico e dou fé que DECORREU em 05/11/2015 o prazo de 30 (trinta) dias para o INSS apresentar contrarrazões. Certifico mais que providenciei a impressão das páginas do processo para autuação e remessa ao E. TRF - 3ª Região - São Paulo.,H:Ativo
31,"Tipo do Movimento:Ato Ordinatório Praticado Descrição:Certifico que há custas pendentes, mas a execução da sucumbência está suspensa, por ser o devedor beneficiário da justiça gratuita, conf.  art. 12 da Lei 1060/50.",H:Arquivado
32,Recebido pelo Distribuidor (movimentação exclusiva do distribuidor),H:Arquivado
33,Tipo do Movimento:Arquivamento Tipo de arquivamento:definitivoMaço:3207Maço recebido pelo arquivo em:05/10/2017Local de arquivamento:Arquivo Geral - Rio de Janeiro,H:Arquivado
34,Remetidos os Autos para a Administração - Destruição Autos destruídos em 20/02/2017.,H:Arquivado
35,Certidão de Publicação Expedida Relação :0173/2019 Data da Disponibilização: 26/03/2019 Data da Publicação: 27/03/2019 Número do Diário: 2776 Página: 1020/1038,H:Ativo
36,Suspensão do Prazo Prazo referente ao usuário foi alterado para 24/05/2019 devido à alteração da tabela de feriados,H:Ativo
37,Certidão de Publicação Expedida Relação :0094/2019 Data da Disponibilização: 27/02/2019 Data da Publicação: 28/02/2019 Número do Diário: 2758 Página: 3274,H:Ativo
38,Arquivado Definitivamente,H:Arquivado
39,Baixa Definitiva,H:Arquivado
40,Trânsito em Julgado às partes - com Baixa TRANSITO EM JULGADO AOS 20/09/16,H:Arquivado
41,Certidão de Publicação Expedida Relação :0051/2019 Data da Disponibilização: 12/02/2019 Data da Publicação: 13/02/2019 Número do Diário: 2747 Página: 1556/1580,H:Ativo
42,Mensagem Eletrônica (e-mail) Juntada,H:Arquivado
43,Recebidos os Autos da Procuradoria do Município Tipo de local de destino: Cartório Especificação do local de destino: Cartório do Setor de Execuções contra a FazPública,H:Ativo
44,Tipo do Movimento:RemessaDestinatário:Tribunal de Justiça Prazo:15 dia(s),H:Ativo
45,Certidão de Cartório Expedida Certidão - Genérica,H:Arquivado
46,Remetida a Carta Precatória ao Cartório de Origem Cumprida Negativa,H:Arquivado
47,AR Positivo Juntado,H:Ativo
48,Comprovante de Depósito Juntada,H:Ativo
49,Arquivado Definitivamente,H:Arquivado
50,Certidão de Publicação Expedida Relação :0184/2018 Data da Disponibilização: 26/07/2018 Data da Publicação: 27/07/2018 Número do Diário: 2624 Página: 1619/1655,H:Ativo
51,Ofício Juntado Juntada a petição diversa - Tipo: Ofício em Despejo por Falta de Pagamento - Número: 80018 - Protocolo: FUBT18000004325,H:Ativo
